Model,Publication date,Organization,Domain,Task,log_parameters
Voxtral Mini,2025-07-15,Mistral AI,"Speech,Language","Audio question answering,Speech recognition (ASR),Speech-to-text,Language modeling/generation,Question answering",9.672097857935718
Gemini Embedding,2025-07-14,Google DeepMind,Language,Semantic embedding,
Kimi K2,2025-07-11,Moonshot,Language,"Language modeling/generation,Code generation,Question answering,Quantitative reasoning,Search,Table tasks",12.0
Grok 4 Heavy,2025-07-10,xAI,Language,"Language modeling/generation,Question answering,Mathematical reasoning,Quantitative reasoning,Code generation",
Grok 4,2025-07-09,xAI,"Language,Multimodal,Vision","Language modeling/generation,Question answering,Search,Visual question answering,Character recognition (OCR),Image captioning,Quantitative reasoning",12.477121254719663
EXAONE Path 2.0,2025-07-09,LG AI Research,"Vision,Medicine","Cancer diagnosis,Image classification,Medical diagnosis",8.243038048686294
MedSigLIP,2025-07-09,Google,"Vision,Medicine","Image embedding,Image segmentation,Image classification",8.903089986991944
dots.llm1,2025-07-06,Rednote,Language,"Language modeling/generation,Question answering",11.152288344383056
Finix-P1-32B,2025-07-01,Ant Group,Unknown,Unknown,10.505149978319906
ERNIE-4.5-VL-28B-A3B,2025-06-29,Baidu,"Multimodal,Language,Vision,Video","Language modeling/generation,Visual question answering,Video description,Speech recognition (ASR),Quantitative reasoning,Code generation,Translation,Question answering,Character recognition (OCR)",10.44715803134222
ERNIE-4.5-300B-A47B,2025-06-29,Baidu,Language,"Language modeling/generation,Quantitative reasoning,Code generation,Translation,Question answering",11.477121254719663
ERNIE-4.5-21B-A3B,2025-06-29,Baidu,Language,"Language modeling/generation,Quantitative reasoning,Code generation,Translation,Question answering",10.32221929473392
ERNIE-4.5-0.3B,2025-06-29,Baidu,Language,"Language modeling/generation,Quantitative reasoning,Code generation,Translation,Question answering",8.556302500767288
DiLoCoX (Qwen1.5-107B on WT-103),2025-06-26,"China Mobile,Zero Gravity Labs (0g AI)",Language,"Language modeling/generation,Question answering",11.02938377768521
BlueOcean LLM 2.0 (萤石蓝海),2025-06-26,"Hangzhou EZVIZ Software Co., Ltd. (Hikvision)","Multimodal,Vision,Video,Speech,Language","Object detection,Object recognition,Speech recognition (ASR),Video description,Search,Audio classification,Face detection,Language modeling/generation,Question answering",
AlphaGenome,2025-06-25,Google DeepMind,Biology,"Gene expression enhancement,Gene expression profile generation,Molecular property prediction,Mutation prediction,Protein-DNA binding prediction,Transcriptomic prediction,RNA structure prediction",8.653212513775344
Kimi-VL,2025-06-23,Moonshot,"Multimodal,Vision,Language","Language modeling/generation,Object recognition,Mathematical reasoning",10.204119982655925
Minimax Hailuo 02,2025-06-18,"MiniMax,Hailuo AI",Video,"Video generation,Text-to-video,Image-to-video",
Mercury Coder Mini,2025-06-17,Inception Labs,Language,"Language modeling/generation,Code generation",
Mercury Coder Small,2025-06-17,Inception Labs,Language,"Language modeling/generation,Code generation",
Gemini 2.5 Flash (Jun 2025),2025-06-17,Google DeepMind,"Language,Multimodal,Vision,Speech,Video","Language modeling/generation,Question answering,Code generation,Quantitative reasoning,Visual question answering,Translation,Image captioning,Speech recognition (ASR),Video description,Search,Text summarization,Chat",
Kimi Dev 72b,2025-06-16,Moonshot,Language,Code generation,10.857332496431269
Gemini 2.5 Flash-Lite (Jun 2025),2025-06-15,Google DeepMind,"Language,Vision,Video,Speech,Multimodal","Language modeling/generation,Question answering,Translation,Text classification,Quantitative reasoning,Search,Code generation,Visual question answering,Video description,Speech recognition (ASR),Character recognition (OCR),System control",
Mistral Small 3.2,2025-06-15,Mistral AI,"Language,Vision,Multimodal","Language modeling/generation,Question answering,Quantitative reasoning,Code generation,Translation,Visual question answering,Character recognition (OCR)",10.380211241711606
MiniMax-M1-80k,2025-06-13,MiniMax,Language,"Language modeling/generation,Question answering,Code generation,Quantitative reasoning",11.658964842664435
MiniMax-M1-40k,2025-06-13,MiniMax,Language,"Language modeling/generation,Question answering,Code generation,Quantitative reasoning",11.658964842664435
FGN,2025-06-12,Google DeepMind,Earth science,Weather forecasting,8.857332496431269
CollabLLM,2025-06-12,"Stanford University,Microsoft,Georgia Institute of Technology",Language,"Language modeling/generation,Question answering",9.903089986991944
V-JEPA 2,2025-06-11,Facebook AI Research,"Vision,Video,Robotics",Robotic manipulation,9.0
Cosmos-Predict2-2B-Text2Image ,2025-06-11,NVIDIA,Image generation,"Text-to-image,Image generation",9.301029995663981
Cosmos-Predict2-14B-Text2Image,2025-06-11,NVIDIA,Image generation,"Text-to-image,Image generation",10.146128035678238
Cosmos-Predict2-2B-Video2World,2025-06-11,NVIDIA,"Video,Vision,Robotics","Robotic manipulation,System control,Video generation",9.301029995663981
Cosmos-Predict2-14B-Video2World,2025-06-11,NVIDIA,"Video,Vision,Robotics","Robotic manipulation,System control,Video generation",10.146128035678238
Cosmos-Predict2-2B-Text2Image,2025-06-11,NVIDIA,Image generation,"Image generation,Text-to-image",9.301029995663981
Seed-1.6-Thinking,2025-06-11,ByteDance,"Multimodal,Language,Vision","Language modeling/generation,Vision-language generation",11.361727836017593
Seed 1.6,2025-06-11,ByteDance,"Multimodal,Language,Vision,Video","Language modeling/generation,Image captioning,Video generation",11.361727836017593
Magistral Medium 1.1,2025-06-10,Mistral AI,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Code generation,Translation",
Magistral Small 1.1,2025-06-10,Mistral AI,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Code generation,Translation",10.380211241711606
o3-pro,2025-06-10,OpenAI,Unknown,Unknown,
Seedance 1.0,2025-06-10,ByteDance,Video,"Video generation,Text-to-video,Image-to-video",
Skywork-R1V3,2025-06-10,Kunlun Inc.,Vision,Visual question answering,10.57978359661681
Devstral Medium,2025-06-10,"Mistral AI,All Hands AI",Language,"Code generation,Language modeling/generation,Instruction interpretation,System control",
MiniCPM-4-8B,2025-06-09,OpenBMB (Open Lab for Big Model Base),Language,"Language modeling/generation,Code generation,Translation",9.903089986991944
Redwood AI,2025-06-09,1X,Robotics,"Robotic manipulation,Animal (human/non-human) imitation",
Boltz-2,2025-06-06,"Massachusetts Institute of Technology (MIT),Recursion Pharmaceuticals,ETH Zurich,Valence Labs",Biology,"Protein interaction prediction,Protein-ligand binding affinity prediction",
MiMo-7B-Base,2025-06-05,Xiaomi Corp,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Code generation",9.845098040014257
Qwen3 Embedding,2025-06-05,Alibaba,Language,Semantic embedding,9.903089986991944
Qwen3 Reranker,2025-06-05,Alibaba,Language,Semantic embedding,9.903089986991944
ether0,2025-06-05,FutureHouse,"Materials science,Language","Language modeling/generation,Molecular property prediction",10.380211241711606
Claude Gov,2025-06-05,Anthropic,Language,"Language modeling/generation,Question answering",
Gemini 2.5 Pro (Jun 2025),2025-06-05,Google DeepMind,"Language,Vision,Video,Multimodal,Speech","Language modeling/generation,Question answering,Code generation,Quantitative reasoning,Visual question answering,Translation,Image captioning,Video description,Speech recognition (ASR)",
Ink Whisper,2025-06-04,Cartesia,Speech,"Speech-to-text,Speech recognition (ASR)",
MiMo-VL-7B-SFT,2025-06-04,Xiaomi Corp,"Vision,Multimodal,Language,Video","Character recognition (OCR),Image captioning,Language modeling/generation,Question answering,Visual question answering,Video,Video description",9.845098040014257
MiMo‑VL‑7B‑RL,2025-06-04,Xiaomi Corp,"Vision,Multimodal,Language,Video","Character recognition (OCR),Image captioning,Language modeling/generation,Question answering,Visual question answering,Video,Video description",9.845098040014257
