Model,Publication date,Organization,Domain,Task,log_parameters
BLUUMI,2023-11-03,"University of Turku,Hugging Face",Language,Language modeling,11.24551266781415
RT-Trajectory,2023-11-03,"Google DeepMind,University of California San Diego,Stanford University",Robotics,Robotic manipulation,
Yi-34B,2023-11-02,01.AI,Language,"Chat,Language modeling/generation,Translation,Code generation",10.531478917042255
Cohere Embed,2023-11-02,Cohere,Language,"Semantic embedding,Retrieval-augmented generation",
DeepSA,2023-11-02,ShanghaiTech University,Biology,Synthetic accessibility model,
BlueLM 70B,2023-11-02,vivo AI lab,Language,"Chat,Language modeling/generation,Question answering",10.845098040014257
BlueLM 130B,2023-11-02,vivo AI lab,Language,"Chat,Language modeling/generation,Question answering",11.113943352306837
BlueLM 175B,2023-11-02,vivo AI lab,Language,"Chat,Language modeling/generation,Question answering",11.243038048686294
Yi 6B,2023-11-02,01.AI,Language,"Chat,Language modeling/generation,Translation,Code generation",9.778151250383644
Nanbeige-16B,2023-11-01,Nanbeige LLM Lab,Language,"Chat,Language modeling/generation,Code generation,Question answering",10.204119982655925
LingoWhale-8B,2023-11-01,DeepLang AI,Language,"Language modeling/generation,Code generation,Translation",9.903089986991944
Calm2-7B,2023-11-01,CyberAgent,Language,Language modeling/generation,9.845098040014257
OpenChat 3.5-7B,2023-11-01,Tsinghua University,Language,"Chat,Language modeling/generation",9.845098040014257
MuggleMath,2023-11-01,"University of Science and Technology of China (USTC),Alibaba","Language,Mathematics","Language modeling/generation,Chat",10.845098040014257
YaRN (Llama 2 13B),2023-11-01,"Nous Research,EleutherAI,University of Geneva",Language,"Language modeling/generation,Question answering",10.113943352306837
YaRN (Llama 2 70B),2023-11-01,"Nous Research,EleutherAI,University of Geneva",Language,"Language modeling/generation,Question answering",10.845098040014257
BlueLM 7B,2023-10-31,vivo AI lab,Language,"Chat,Translation,Language modeling/generation,Question answering,Code generation",9.845098040014257
Tongyi Qianwen 2.0,2023-10-31,Alibaba,Language,"Chat,Language modeling/generation",
Mi:dm 200B,2023-10-31,KT,Language,Language modeling/generation,11.301029995663981
Skywork-13B,2023-10-30,Kunlun Inc.,Language,"Language modeling,Language modeling/generation,Translation",10.113943352306837
Spec-Drafter,2023-10-30,"Peking University,Microsoft Research Asia",Language,Translation,8.698970004336019
ChatGLM3-6B,2023-10-27,Z.ai (Zhipu AI),"Multimodal,Language,Vision","Chat,Visual question answering,Code generation",9.778151250383644
CODEFUSION (Python),2023-10-26,"Microsoft,Microsoft Research",Language,Code generation,7.8750612633917
DiT-XL/2 + CADS,2023-10-26,"ETH Zurich,Disney Research",Image generation,Image generation,8.829303772831025
QMoE: compressed SwitchTransformer,2023-10-25,"Institute of Science and Technology Austria (ISTA),Neural Magic",Language,Language modeling,12.196176185039974
Xinghan Foundation Model,2023-10-25,Dahua Technology,"Multimodal,Video,Language,Vision","Video description,Visual question answering,Language modeling/generation",
Zephyr 7B,2023-10-25,Hugging Face,Language,"Language modeling/generation,Question answering",9.845098040014257
Spark 3.0,2023-10-24,iFlytek,Language,"Code generation,Language generation,Language modeling/generation,Question answering",
Stockmark-13B,2023-10-23,Stockmark,Language,Language modeling/generation,10.12057393120585
CausalLM 14B,2023-10-22,CausalLM,Language,"Language modeling/generation,Question answering",10.167317334748176
SILC-S* (86M),2023-10-20,"ETH Zurich,DeepMind,Google,Technical University of Munich",Vision,"Image classification,Image segmentation",7.9344984512435675
SILC-S,2023-10-20,"ETH Zurich,DeepMind,Google,Technical University of Munich",Vision,"Image classification,Image segmentation",7.9344984512435675
DALL·E 3,2023-10-19,OpenAI,Image generation,"Image generation,Text-to-image",
KwaiYiiMath,2023-10-19,Kuaishou Technology,Language,"Quantitative reasoning,Chat",10.113943352306837
Voicebox / VB-En,2023-10-19,Facebook AI Research,Speech,"Speech synthesis,Text-to-speech (TTS)",8.553883026643874
ERNIE 4.0,2023-10-17,Baidu,"Multimodal,Language,Video,Image generation","Chat,Language modeling/generation,Video generation,Image generation",
Fuyu-8B,2023-10-17,Adept,"Multimodal,Language,Vision","Chat,Image classification,Visual question answering,Image captioning",9.903089986991944
PaLI-3,2023-10-17,"Google DeepMind,Google Research,Google Cloud","Multimodal,Language,Vision","Visual question answering,Character recognition (OCR),Image captioning",9.698970004336019
Llemma 34B,2023-10-16,"Princeton University,University of Toronto,Vector Institute,University of Cambridge,Carnegie Mellon University (CMU),University of Washington,EleutherAI","Mathematics,Language","Mathematical reasoning,Language modeling/generation,Question answering,Code generation",10.531478917042255
Llemma 7B,2023-10-16,"Princeton University,EleutherAI,University of Toronto,Vector Institute,University of Cambridge,Carnegie Mellon University (CMU),University of Washington","Mathematics,Language","Mathematical reasoning,Language modeling/generation,Question answering,Code generation",9.845098040014257
Aquila2 34B,2023-10-13,Beijing Academy of Artificial Intelligence / BAAI,Language,"Chat,Language modeling/generation",10.531478917042255
Table-GPT,2023-10-13,Microsoft Research,Language,"Language modeling/generation,Table tasks",11.243038048686294
RT-2-X,2023-10-13,Google DeepMind,Robotics,Robotic manipulation,10.740362689494244
Jiutian,2023-10-12,China Mobile,Language,Language modeling/generation,10.143014800254095
Ferret (13B),2023-10-11,"Columbia University,Apple","Multimodal,Language,Vision","Object recognition,Language modeling",10.113943352306837
Mistral 7B,2023-10-10,Mistral AI,Language,"Code generation,Language generation,Language modeling/generation,Question answering",9.845098040014257
CodeFuse-13B,2023-10-10,Ant Group,Language,Code generation,10.113943352306837
CELLE-2,2023-10-10,"Chan Zuckerberg Initiative,University of California San Francisco,University of California (UC) Berkeley",Biology,"Protein localization prediction,Text-to-image",
RoseTTAFold All-Atom (RFAA),2023-10-09,"University of Washington,Seoul National University,University of Sheffield",Biology,"Protein folding prediction,Proteins",
FinGPT-13B,2023-10-07,"University of California Los Angeles (UCLA),Columbia University,New York University (NYU)",Language,"Named entity recognition (NER),Sentiment classification,Language modeling/generation,Financial management",10.113943352306837
NAEPro,2023-10-06,"University of California Santa Barbara (UCSB),Massachusetts Institute of Technology (MIT),Carnegie Mellon University (CMU)",Biology,Protein design,
FoldFlow,2023-10-03,"McGill University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),Dreamfold,University of Montreal / Université de Montréal,University of Oxford",Biology,Protein generation,
LLaMA-7B (protein-oriented instruction-tuned),2023-10-02,Zhejiang University (ZJU),"Language,Biology","Protein folding prediction,Protein generation,Other Biological Modeling,Protein or nucleotide language model (pLM/nLM),Protein question answering",9.845098040014257
MiniGPT4 (Vicuna finetune),2023-10-02,King Abdullah University of Science and Technology (KAUST),"Language,Vision,Multimodal","Language modeling/generation,Chat,Visual question answering,Image captioning",10.113943352306837
Phi-1,2023-10-02,Microsoft Research,Language,"Language modeling/generation,Code generation",9.113943352306837
New Intelligent Q&A,2023-10-02,Unknown,Language,"Language modeling/generation,Question answering",
CTM (CIFAR-10),2023-10-01,"Stanford University,Sony",Image generation,"Image generation,Text-to-image",
TinyLlama-1.1B (1T token checkpoint),2023-10-01,Singapore University of Technology & Design,Language,"Chat,Language modeling/generation,Translation,Question answering",9.041392685158225
TinyLlama-1.1B (3T token checkpoint),2023-10-01,Singapore University of Technology & Design,Language,"Chat,Language modeling/generation,Translation,Question answering",9.041392685158225
BITTERS,2023-10-01,"LG,Shutterstock",Vision,Image captioning,8.812913356642856
PIXART-α,2023-09-30,"Huawei Noah's Ark Lab,The University of Hong Kong,Hong Kong University of Science and Technology (HKUST)",Image generation,"Image generation,Text-to-image",8.778151250383644
HiDream Large Model 1.0,2023-09-30,HiDream,"Video,Image generation,Vision,3D modeling","Video generation,Image-to-video,Text-to-video,Image generation,Text-to-image",9.778151250383644
StableLM-3B-4E1T,2023-09-29,Stability AI,Language,Language generation,9.44645067234959
Wuerstchen,2023-09-29,"Technische Hochschule Ingolstadt,University of Montreal / Université de Montréal,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),Polytechnique Montreal,Wand Technologies",Image generation,"Text-to-image,Image generation",9.0
GAIA-1,2023-09-29,Wayve,"Video,Vision,Multimodal,Language","Self-driving car,Video generation,Instruction interpretation",9.954242509439325
Qwen-14B,2023-09-28,Alibaba,Language,Language modeling/generation,10.146128035678238
Amazon Titan,2023-09-28,Amazon,"Language,Image generation","Semantic search,Image generation,Language modeling/generation,Code generation,Chat,Text-to-image,Translation",11.301029995663981
Qwen-7B,2023-09-28,Alibaba,Language,"Language modeling/generation,Translation",9.845098040014257
PLaMo-13B,2023-09-28,Preferred Networks Inc,Language,"Language modeling/generation,Chat,Question answering",10.113943352306837
Show-1,2023-09-27,National University of Singapore,Video,"Video generation,Text-to-video",
Emu (Meta),2023-09-27,Meta AI,Image generation,"Text-to-image,Image generation",9.44715803134222
BigRNA,2023-09-27,DeepGenomics,Biology,"Drug discovery,Protein-RNA binding affinity prediction,Gene expression profile generation",9.301029995663981
InternLM-XComposer,2023-09-26,Shanghai AI Lab,"Multimodal,Language,Vision","Chat,Visual question answering,Translation",9.845098040014257
GPT-4V,2023-09-25,OpenAI,"Multimodal,Vision,Language","Language modeling,Visual question answering",
AlphaMissense,2023-09-22,Google DeepMind,Biology,"Protein pathogenicity prediction,Protein folding prediction,Proteins",7.968482948553935
PengCheng Mind (鹏城脑海),2023-09-21,Peng Cheng Laboratory,Language,"Chat,Code generation,Translation",11.301029995663981
BTLM-3B,2023-09-20,Cerebras Systems,Language,"Language generation,Code generation",9.414973347970818
DreamLLM,2023-09-20,"Xi’an Jiaotong University,Megvii Inc,Tsinghua University,Huazhong University of Science and Technology","Multimodal,Language,Vision,Image generation","Language modeling/generation,Vision-language generation,Image generation",9.845098040014257
GPT-MolBERTa,2023-09-20,Carnegie Mellon University (CMU),Biology,Molecular property prediction,
Baichuan 2-7B,2023-09-20,Baichuan,Language,"Language modeling/generation,Question answering,Translation",9.845098040014257
OpenChat-13b,2023-09-20,"Tsinghua University,Shanghai AI Lab,01.AI",Language,Question answering,10.113943352306837
Nova-2,2023-09-19,Deepgram,Speech,Speech recognition (ASR),
bge-reranker-large,2023-09-14,"Beijing Academy of Artificial Intelligence / BAAI,Hugging Face",Language,Semantic embedding,8.7481880270062
DeciLM 6B,2023-09-13,Deci AI,Language,Chat,9.755874855672491
Robot Parkour,2023-09-12,"Shanghai Qi Zhi institute,Stanford University,Carnegie Mellon University (CMU),Tsinghua University",Robotics,Animal (human/non-human) imitation,5.698970004336019
Phi-1.5,2023-09-11,Microsoft,Language,Language generation,9.113943352306837
MADLAD-400 10B,2023-09-09,"Google DeepMind,Google Research",Language,Translation,10.02938377768521
Mobile V-MoEs,2023-09-08,Apple,Vision,Image classification,
Persimmon-8B,2023-09-07,Adept,Language,Language modeling,9.968482948553936
FLM-101B,2023-09-07,"Chinese Academy of Sciences,Harbin Institute of Technology,Nanyang Technological University,Beijing Academy of Artificial Intelligence / BAAI",Language,"Language modeling/generation,Question answering,Chat",11.004321373782643
XGen-7B,2023-09-07,Salesforce,Language,Language generation,9.826074802700827
Hunyuan,2023-09-07,Tencent,"Language,Image generation,Multimodal","Language modeling/generation,Image generation,Question answering",11.0
ELIXR-C,2023-09-07,"Google,Northwestern Medicine,Apollo Radiology International","Vision,Medicine","Image embedding,Semantic search,Image classification",
ELIXR-B,2023-09-07,"Google,Northwestern Medicine,Apollo Radiology International","Vision,Medicine","Image embedding,Visual question answering,Semantic search,Image classification,Language modeling/generation",
Falcon-180B,2023-09-06,Technology Innovation Institute,Language,"Language modeling,Language modeling/generation,Question answering",11.255272505103306
Baichuan2-13B,2023-09-06,Baichuan,Language,Chat,10.113943352306837
TigerBot-70B,2023-09-06,Tigerobo,Language,"Chat,Language generation,Language modeling/generation,Question answering",10.845098040014257
360 Smart Brain,2023-09-04,360 Security Technology,"Multimodal,Language,Image generation","Language generation,Chat,Image generation",
Swift,2023-08-30,Intel Labs,Robotics,Helicopter driving,4.754378918752607
ABAB,2023-08-30,MiniMax,Language,Language generation,
Jais,2023-08-29,"Cerebras Systems,Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),Inception G42",Language,"Language modeling,Chat,Translation,Language modeling/generation,Question answering",10.113943352306837
Refact-1.6B,2023-08-29,Refact AI,Language,Language modeling/generation,9.204119982655925
Luca 2.0,2023-08-29,Mianbi Intelligence,Unknown,Unknown,11.0
PeptideBERT,2023-08-28,Carnegie Mellon University (CMU),Biology,"Proteins,Protein property prediction",
MengziGPT-General-40B,2023-08-27,Langboat,Language,"Language modeling/generation,Question answering",10.602059991327963
Mengzi-Fin-7B,2023-08-27,Langboat,Language,"Language modeling/generation,Question answering",9.845098040014257
Mengzi-Fin-13B,2023-08-27,Langboat,Language,"Language modeling/generation,Question answering",10.113943352306837
Mengzi-Lite,2023-08-25,Langboat,Language,"Language modeling/generation,Question answering",
Open-Assistant Llama2 70B SFT v10,2023-08-25,Unknown,Language,"Chat,Language modeling/generation",10.845098040014257
MathGPT,2023-08-24,TAL Education Group (Xueersi),Language,Quantitative reasoning,
HyperCLOVA X,2023-08-24,NAVER,Language,"Language modeling/generation,Chat,Search,Translation,Code generation,Question answering,Quantitative reasoning",
Qwen-VL,2023-08-24,Alibaba,"Multimodal,Language,Vision","Image captioning,Chat,Question answering,Visual question answering",9.982271233039569
airoboros-l2-70b-2.1,2023-08-24,Unknown,Language,"Language modeling/generation,Question answering",10.845098040014257
PULI GPTrio,2023-08-23,Hungarian Research Centre for Linguistics,Language,"Chat,Translation",9.826074802700827
ShapeMol,2023-08-23,Ohio State University,Biology,Drug discovery,6.431363764158987
IDEFICS-80B,2023-08-22,Hugging Face,"Multimodal,Language,Vision","Language modeling,Image captioning,Visual question answering",10.903089986991944
IDEFICS-9B,2023-08-22,Hugging Face,"Multimodal,Language,Vision","Language modeling,Image captioning,Visual question answering",9.954242509439325
Eleven Multilingual v2,2023-08-22,ElevenLabs,Speech,"Text-to-speech (TTS),Speech synthesis",
Dou Bao,2023-08-18,ByteDance,Language,"Chat,Language modeling/generation",
KwaiYii 13B,2023-08-16,Kuaishou Technology,Language,Chat,10.113943352306837
VARCO LLM 2.0 base,2023-08-16,NCSOFT,Language,"Language modeling/generation,Chat,Translation,Question answering",10.113943352306837
VARCO LLM 2.0 small Finetuning,2023-08-16,NCSOFT,Language,"Language modeling/generation,Chat,Text summarization,Translation,Question answering",9.845098040014257
VARCO LLM KO/EN-13B-IST ver.1,2023-08-16,NCSOFT,Language,"Language modeling/generation,Chat",10.113943352306837
DeciCoder-1B,2023-08-15,Deci AI,Language,Code generation,9.041392685158225
Konan LLM 13B,2023-08-15,Konan Technology,"Language,Vision",Language modeling/generation,10.117271295655764
A.X (Adot) 7B,2023-08-15,SK Telecom,"Language,Speech",Chat,9.845098040014257
Spark 2.0,2023-08-15,iFlytek,Unknown,Unknown,
Platypus-70B,2023-08-14,Boston University,Language,Language generation,10.845098040014257
Code Llama-34B,2023-08-14,Meta AI,Language,Code generation,10.531478917042255
Japanese-LM-3.6B,2023-08-14,LINE Corporation,Language,Language modeling,9.556302500767288
Code Llama-7B,2023-08-14,Meta AI,Language,Code generation,9.845098040014257
Code Llama-13B,2023-08-14,Meta AI,Language,Code generation,10.113943352306837
Japanese StableLM Base Alpha 7B,2023-08-10,Stability AI,Language,"Language modeling/generation,Translation",9.845098040014257
Baichuan2-53B,2023-08-09,Baichuan,Language,"Language modeling/generation,Chat",10.724275869600788
Claude Instant,2023-08-09,Anthropic,Language,"Language modeling,Chat",
CALM,2023-08-06,"NVIDIA,Technion - Israel Institute of Technology",Robotics,Animal (human/non-human) imitation,
SS-pLM,2023-08-06,"Nostrum Biodiscovery,Barcelona Supercomputing Center,Institucio Catalana de Recerca i Estudis Avancçats",Biology,Protein or nucleotide language model (pLM/nLM),7.1702617153949575
StableLM-Base-Alpha-7B,2023-08-05,Stability AI,Language,Language modeling,9.838232413165803
GGNN,2023-08-05,"Westlake University,Tsinghua University,Toyota Technological Institute at Chicago",Biology,"Proteins,Protein interaction prediction,Protein protein binding affinity prediction,Protein representation learning",
Weblab-10B,2023-08-04,Matsuo Lab,Language,Language modeling/generation,10.0
YuLan-Chat-2 (13B),2023-08-02,Renmin University of China,Language,Chat,10.113943352306837
OpenFlamingo,2023-08-02,"University of Washington,Stanford University,Allen Institute for AI,Hebrew University of Jerusalem,Columbia University,Google DeepMind,University of California Santa Barbara (UCSB),Research Center Juelich",Image generation,"Image generation,Text-to-image",9.954242509439325
JIANG,2023-08-01,K.D. Feddersen (KDF),Language,Language modeling,
Vicuna-7B-v1.5,2023-08-01,"Large Model Systems Organization,University of California (UC) Berkeley",Language,"Language modeling/generation,Chat",9.845098040014257
Vicuna-13B-v1.5,2023-08-01,"Large Model Systems Organization,University of California (UC) Berkeley",Language,"Language modeling/generation,Chat",10.113943352306837
bilingual-gpt-neox-4b,2023-07-31,rinna,Language,"Language generation,Translation",9.57978359661681
RT-2,2023-07-28,Google DeepMind,Robotics,Robotic manipulation,10.740362689494244
Zi Yue,2023-07-28,NetEase,Language,Chat,
Zi Yue 2.0,2023-07-28,NetEase,Language,Chat,
BELLE-Llama2-13B-chat-0.4M,2023-07-27,KE Holdings Inc. (“Beike”),Language,Language modeling/generation,10.113943352306837
Xinyi Video 1.0,2023-07-27,Unknown,Unknown,Unknown,
AudioLM,2023-07-26,Google Research,Audio,Audio generation,9.176091259055681
CharacterGLM,2023-07-25,"Beijing Lingxin Intelligent Technology Co., Ltd.",Unknown,Unknown,
WizardLM 13B v1.2,2023-07-25,"Microsoft,Peking University",Language,"Language modeling/generation,Question answering",10.113943352306837
RFdiffusion,2023-07-23,"University of Washington,Columbia University,Ecole Normale Supèrieure,University of Cambridge,Massachusetts Institute of Technology (MIT),Seoul National University",Biology,"Protein generation,Protein folding prediction",
LM-Design,2023-07-23,"ByteDance,University of Wisconsin Madison",Biology,Protein design,6.838849090737256
YAYI-13B-Llama2,2023-07-22,Yayi (Wenge),Language,Language modeling/generation,10.113943352306837
YAYI-7B-Llama2,2023-07-22,Yayi (Wenge),Language,Language modeling/generation,9.845098040014257
Stable Beluga 1,2023-07-21,Stability AI,Language,Language generation,10.81424759573192
Stable Beluga 2,2023-07-20,Stability AI,Language,Language generation,10.845098040014257
EXAONE 2.0,2023-07-19,LG AI Research,"Multimodal,Image generation,Language,Biology,Vision","Language modeling,Image generation,Visual question answering",11.477121254719663
Llama 2-70B,2023-07-18,Meta AI,Language,"Language modeling,Language modeling/generation,Question answering",10.845098040014257
Llama 2-34B,2023-07-18,Meta AI,Language,Language modeling,10.531478917042255
Llama 2-7B,2023-07-18,Meta AI,Language,Language modeling,9.845098040014257
Llama 2-13B,2023-07-18,Meta AI,Language,Language modeling,10.113943352306837
GPT3-2.7B (FlashAttention-2),2023-07-18,"Stanford University,Princeton University",Language,Language modeling/generation,9.431363764158988
RetNet,2023-07-17,"Microsoft Research,Tsinghua University",Language,Language modeling,9.826074802700827
BaiLing,2023-07-15,Ant Group,Language,"Language modeling/generation,Question answering",
CryoChains,2023-07-15,"University of California Santa Barbara (UCSB),Stanford University",Biology,Cryo-EM image reconstruction,
ChatRhino,2023-07-13,JD.com,Language,Chat,11.0
Uni-RNA-L8,2023-07-12,DP Technology,Biology,Protein or nucleotide language model (pLM/nLM),7.3979400086720375
Med-PaLM,2023-07-12,"Google Research,National Library of Medicine,DeepMind","Medicine,Language",Question answering,11.732393759822969
Uni-RNA-L-24,2023-07-12,DP Technology,Biology,Protein or nucleotide language model (pLM/nLM),8.602059991327963
Uni-RNA-L12,2023-07-12,DP Technology,Biology,Protein or nucleotide language model (pLM/nLM),7.929418925714293
Uni-RNA-L16,2023-07-12,DP Technology,Biology,Protein or nucleotide language model (pLM/nLM),8.227886704613674
Claude 2,2023-07-11,Anthropic,Language,"Language modeling,Chat,Language modeling/generation,Question answering",
Emu1 (BAAI),2023-07-11,"Beijing Academy of Artificial Intelligence / BAAI,Tsinghua University,Peking University","Vision,Multimodal,Language","Image generation,Text autocompletion,Text-to-image,Visual question answering,Image captioning,Language modeling/generation",10.146128035678238
Baichuan 1-13B,2023-07-11,Baichuan,Language,"Language modeling/generation,Question answering",10.122704016987143
West Lake (“Xīhú / 西湖大模型”),2023-07-09,West Lake Xinchen / Xinchen AI / 西湖心辰（杭州）科技有限公司,"Multimodal,Language,Vision,Speech","Chat,Language modeling/generation,Question answering,Character recognition (OCR),Image captioning,Speech recognition (ASR),Text-to-speech (TTS)",
TeleChat,2023-07-07,China Telecom,Language,"Chat,Language modeling/generation,Text summarization,Translation",
Pangu 3.0,2023-07-07,Huawei,"Multimodal,Language,Image generation,Vision","Language modeling/generation,Image generation",11.0
InternLM,2023-07-06,"Shanghai AI Lab,SenseTime",Language,Language modeling,11.01703333929878
CodeGen2.5,2023-07-06,Salesforce,Language,Code generation,9.845098040014257
xTrimoPGLM -100B,2023-07-06,"Tsinghua University,BioMap Research",Biology,"Proteins,Protein or nucleotide language model (pLM/nLM),Protein generation",11.0
NEC LLM 13B,2023-07-06,NEC Laboratories,Language,"Language modeling/generation,Chat",10.113943352306837
Pangu-Weather,2023-07-05,Huawei,Earth science,Weather forecasting,8.40823996531185
LongNet,2023-07-05,"Microsoft,Xi’an Jiaotong University",Language,Language modeling/generation,9.431363764158988
Stable Diffusion XL (SDXL),2023-07-04,Stability AI,Image generation,"Image generation,Text-to-image",9.531478917042255
Multilingual-E5-large,2023-06-30,Microsoft,Language,Semantic embedding,8.7481880270062
Honghu Graphic,2023-06-28,China Unicom,"Vision,Image generation","Text-to-image,Image generation,Image-to-image",9.301029995663981
ERNIE 3.5,2023-06-27,Baidu,Language,"Language modeling,Language modeling/generation",
HyenaDNA,2023-06-27,"Stanford University,Harvard University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),University of Montreal / Université de Montréal",Biology,Protein or nucleotide language model (pLM/nLM),6.819543935541868
Chirp,2023-06-27,Google,Speech,"Speech recognition (ASR),Speech-to-text",9.301029995663981
RWKV-4 World (7B),2023-06-26,RWKV Foundation,Language,"Language modeling/generation,Chat",9.868820706197518
Kosmos-2,2023-06-26,Microsoft,"Language,Vision,Multimodal","Visual question answering,Image captioning,Named entity recognition (NER),Character recognition (OCR),Document representation",9.204119982655925
Llama-2-Chinese 13B,2023-06-25,FlagAlpha,Language,"Language modeling/generation,Question answering,Code generation,Quantitative reasoning",10.113943352306837
Inflection-1,2023-06-23,Inflection AI,Language,Language modeling,
MPT-30B,2023-06-22,MosaicML,Language,"Language generation,Code generation",10.477121254719663
Vicuna-33B-v1.3,2023-06-22,"Large Model Systems Organization,University of California (UC) Berkeley",Language,"Language modeling/generation,Chat",10.518513939877888
Vicuna-13B-v1.3,2023-06-22,"Large Model Systems Organization,University of California (UC) Berkeley",Language,"Language modeling/generation,Chat",10.113943352306837
Vicuna-7B-v1.3,2023-06-22,"Large Model Systems Organization,University of California (UC) Berkeley",Language,"Language modeling/generation,Chat",9.845098040014257
RoboCat,2023-06-20,"Google DeepMind,Google",Robotics,Robotic manipulation,9.071882007306126
GigaGAN,2023-06-19,"POSTECH,Carnegie Mellon University (CMU),Adobe",Image generation,"Text-to-image,Image generation",9.0
Pix2Struct-Large,2023-06-15,"Google Research,University of Cambridge",Vision,"Image captioning,Visual question answering",9.113943352306837
WizardCoder-15.5B,2023-06-14,Microsoft,Language,Code generation,10.190331698170292
BELLE-LLaMA-7B-0.6M-enc,2023-06-12,KE Holdings Inc. (“Beike”),Language,Language modeling/generation,9.845098040014257
BELLE-LLaMA-7B-2M-enc ,2023-06-12,KE Holdings Inc. (“Beike”),Language,Language modeling/generation,9.845098040014257
BELLE-LLaMA-13B-2M-enc,2023-06-12,KE Holdings Inc. (“Beike”),Language,Language modeling/generation,10.113943352306837
Wu Dao Aquila-7B,2023-06-10,Beijing Academy of Artificial Intelligence / BAAI,Language,"Chat,Code generation",9.845098040014257
Wu Dao Aquila-33B,2023-06-10,Beijing Academy of Artificial Intelligence / BAAI,Language,"Chat,Code generation,Language modeling/generation,Question answering,Text summarization",10.518513939877888
PoET,2023-06-09,OpenProtein.ai,Biology,"Protein generation,Protein or nucleotide language model (pLM/nLM)",7.7558748556724915
SYNTERACT,2023-06-09,University of Delaware,Biology,Protein interaction prediction,8.6232492903979
MusicGen,2023-06-08,Meta AI,Audio,Audio generation,9.526210003841664
PolySphere-1,2023-06-08,AI inside,Language,"Chat,Language modeling/generation,Japanese language modeling",10.146128035678238
RedPajama-INCITE-7B-Base,2023-06-06,Together,Language,Chat,9.838849090737256
LTM-1,2023-06-06,Magic,Language,Code generation,
GELU for CIFAR-10,2023-06-06,"University of California (UC) Berkeley,Toyota Technological Institute at Chicago",Vision,Image classification,3.9951084577447404
life2vec,2023-06-05,"Technical University of Denmark,University of Copenhagen",Medicine,Mortality prediction,6.924279286061882
Polyglot-Ko-12.8B,2023-06-04,EleutherAI,Language,"Translation,Language modeling/generation",10.110543641667904
YaYi-7B,2023-06-03,Yayi (Wenge),Unknown,Unknown,9.845098040014257
Baichuan1-7B,2023-06-01,Baichuan,Language,"Language modeling/generation,Question answering",9.845132758360892
TransAct,2023-05-31,Pinterest,Recommendation,Recommender system,7.963787827345556
MASSA,2023-05-30,"Guangdong-Hong Kong-Macao Joint Laboratory of Human-Machine Intelligence-Synergy Systems,Shenzhen Institute of Advanced Technology,Chinese Academy of Sciences",Biology,Protein representation learning,
EGNN,2023-05-30,InstaDeep,Biology,Protein stability prediction,
UniDiffuser (多模态大模型),2023-05-30,"ShengShu,Tsinghua University,Beijing Academy of Artificial Intelligence / BAAI",Image generation,"Text-to-image,Image captioning,Image generation,Image-to-image",
PaLI-X,2023-05-29,Google Research,"Multimodal,Language,Vision,Video","Image captioning,Video description,Character recognition (OCR),Visual question answering",10.740362689494244
bpRNA-align,2023-05-29,Oregon State University,Biology,Unknown,
DPO on Pythia-2.8B,2023-05-29,"Stanford University,CZ Biohub Network",Language,"Language modeling/generation,Question answering",9.44715803134222
30B-Lazarus,2023-05-27,Caldera AI,Language,"Language modeling/generation,Question answering",10.477121254719663
HuatuoGPT,2023-05-24,"Shenzhen Research Institue of Big Data,Chinese University of Hong Kong (CUHK)",Language,"Language modeling/generation,Question answering,Chat,Medical diagnosis",10.113943352306837
Shanhai,2023-05-24,Unisound,Language,"Language modeling/generation,Question answering,Code generation",
LLaMA-7B (LoRA finetuned),2023-05-23,NAVER,Language,"Language modeling/generation,Question answering",9.845098040014257
LLaMA-65B (LoRA finetuned),2023-05-23,NAVER,Language,"Language modeling/generation,Question answering",10.81424759573192
LLaMA-13B (LoRA finetuned),2023-05-23,NAVER,Language,"Language modeling/generation,Question answering",10.113943352306837
LLaMA-33B (LoRA finetuned),2023-05-23,NAVER,Language,"Language modeling/generation,Question answering",10.518513939877888
Goat-7B,2023-05-23,National University of Singapore,Language,Quantitative reasoning,9.845098040014257
Guanaco-65B,2023-05-23,University of Washington,Language,Chat,10.812913356642856
BiomedGPT (182M),2023-05-23,"Lehigh University,University of Georgia,Samsung Research America,Harvard Medical School,University of Pennsylvania","Language,Vision,Medicine","Visual question answering,Medical diagnosis,Image captioning,Image classification,Text summarization,Language modeling/generation,Mortality prediction",8.260071387985075
ProlificDreamer,2023-05-23,"Tsinghua University,ShengShu",3D modeling,3D reconstruction,
RWKV-4 14B,2023-05-22,RWKV Foundation,Language,Language modeling,10.146128035678238
MMS-1B,2023-05-22,Meta AI,Speech,Speech recognition (ASR),9.0
CodeT5+,2023-05-20,Salesforce,Language,"Code generation,Code autocompletion",10.204119982655925
XuanYuan 2.0,2023-05-19,Du Xiaoman,Language,"Language modeling/generation,Chat",11.246005904076029
ONE-PEACE,2023-05-18,"Alibaba,Huazhong University of Science and Technology","Multimodal,Vision,Speech,Language","Image classification,Speech recognition (ASR),Audio question answering,Audio classification,Semantic segmentation",9.602059991327963
